# freq/cm-1  Intensity 
-2.09282e+02   5.10749e-06
-2.07782e+02   5.12515e-06
-2.06282e+02   5.14300e-06
-2.04782e+02   5.16103e-06
-2.03282e+02   5.17925e-06
-2.01782e+02   5.19767e-06
-2.00282e+02   5.21628e-06
-1.98782e+02   5.23510e-06
-1.97282e+02   5.25412e-06
-1.95782e+02   5.27336e-06
-1.94282e+02   5.29281e-06
-1.92782e+02   5.31247e-06
-1.91282e+02   5.33236e-06
-1.89782e+02   5.35248e-06
-1.88282e+02   5.37283e-06
-1.86782e+02   5.39342e-06
-1.85282e+02   5.41425e-06
-1.83782e+02   5.43533e-06
-1.82282e+02   5.45667e-06
-1.80782e+02   5.47826e-06
-1.79282e+02   5.50012e-06
-1.77782e+02   5.52224e-06
-1.76282e+02   5.54465e-06
-1.74782e+02   5.56733e-06
-1.73282e+02   5.59031e-06
-1.71782e+02   5.61358e-06
-1.70282e+02   5.63715e-06
-1.68782e+02   5.66104e-06
-1.67282e+02   5.68523e-06
-1.65782e+02   5.70976e-06
-1.64282e+02   5.73461e-06
-1.62782e+02   5.75981e-06
-1.61282e+02   5.78535e-06
-1.59782e+02   5.81125e-06
-1.58282e+02   5.83751e-06
-1.56782e+02   5.86415e-06
-1.55282e+02   5.89117e-06
-1.53782e+02   5.91859e-06
-1.52282e+02   5.94641e-06
-1.50782e+02   5.97464e-06
-1.49282e+02   6.00329e-06
-1.47782e+02   6.03238e-06
-1.46282e+02   6.06192e-06
-1.44782e+02   6.09192e-06
-1.43282e+02   6.12238e-06
-1.41782e+02   6.15333e-06
-1.40282e+02   6.18478e-06
-1.38782e+02   6.21674e-06
-1.37282e+02   6.24922e-06
-1.35782e+02   6.28224e-06
-1.34282e+02   6.31581e-06
-1.32782e+02   6.34995e-06
-1.31282e+02   6.38468e-06
-1.29782e+02   6.42002e-06
-1.28282e+02   6.45597e-06
-1.26782e+02   6.49257e-06
-1.25282e+02   6.52982e-06
-1.23782e+02   6.56775e-06
-1.22282e+02   6.60639e-06
-1.20782e+02   6.64574e-06
-1.19282e+02   6.68583e-06
-1.17782e+02   6.72670e-06
-1.16282e+02   6.76835e-06
-1.14782e+02   6.81082e-06
-1.13282e+02   6.85413e-06
-1.11782e+02   6.89832e-06
-1.10282e+02   6.94340e-06
-1.08782e+02   6.98941e-06
-1.07282e+02   7.03639e-06
-1.05782e+02   7.08436e-06
-1.04282e+02   7.13335e-06
-1.02782e+02   7.18341e-06
-1.01282e+02   7.23458e-06
-9.97815e+01   7.28688e-06
-9.82815e+01   7.34037e-06
-9.67815e+01   7.39509e-06
-9.52815e+01   7.45108e-06
-9.37815e+01   7.50839e-06
-9.22815e+01   7.56707e-06
-9.07815e+01   7.62717e-06
-8.92815e+01   7.68875e-06
-8.77815e+01   7.75187e-06
-8.62815e+01   7.81659e-06
-8.47815e+01   7.88297e-06
-8.32815e+01   7.95108e-06
-8.17815e+01   8.02100e-06
-8.02815e+01   8.09280e-06
-7.87815e+01   8.16657e-06
-7.72815e+01   8.24237e-06
-7.57815e+01   8.32032e-06
-7.42815e+01   8.40050e-06
-7.27815e+01   8.48301e-06
-7.12815e+01   8.56797e-06
-6.97815e+01   8.65549e-06
-6.82815e+01   8.74568e-06
-6.67815e+01   8.83868e-06
-6.52815e+01   8.93462e-06
-6.37815e+01   9.03366e-06
-6.22815e+01   9.13595e-06
-6.07815e+01   9.24166e-06
-5.92815e+01   9.35097e-06
-5.77815e+01   9.46407e-06
-5.62815e+01   9.58117e-06
-5.47815e+01   9.70248e-06
-5.32815e+01   9.82826e-06
-5.17815e+01   9.95875e-06
-5.02815e+01   1.00942e-05
-4.87815e+01   1.02350e-05
-4.72815e+01   1.03814e-05
-4.57815e+01   1.05338e-05
-4.42815e+01   1.06925e-05
-4.27815e+01   1.08580e-05
-4.12815e+01   1.10307e-05
-3.97815e+01   1.12111e-05
-3.82815e+01   1.13997e-05
-3.67815e+01   1.15972e-05
-3.52815e+01   1.18042e-05
-3.37815e+01   1.20213e-05
-3.22815e+01   1.22495e-05
-3.07815e+01   1.24895e-05
-2.92815e+01   1.27422e-05
-2.77815e+01   1.30089e-05
-2.62815e+01   1.32906e-05
-2.47815e+01   1.35886e-05
-2.32815e+01   1.39045e-05
-2.17815e+01   1.42399e-05
-2.02815e+01   1.45967e-05
-1.87815e+01   1.49768e-05
-1.72815e+01   1.53828e-05
-1.57815e+01   1.58172e-05
-1.42815e+01   1.62831e-05
-1.27815e+01   1.67839e-05
-1.12815e+01   1.73236e-05
-9.78150e+00   1.79066e-05
-8.28150e+00   1.85381e-05
-6.78150e+00   1.92239e-05
-5.28150e+00   1.99707e-05
-3.78150e+00   2.07861e-05
-2.28150e+00   2.16790e-05
-7.81500e-01   2.26591e-05
7.18500e-01   2.37376e-05
2.21850e+00   2.49271e-05
3.71850e+00   2.62409e-05
5.21850e+00   2.76936e-05
6.71850e+00   2.92997e-05
8.21850e+00   3.10731e-05
9.71850e+00   3.30246e-05
1.12185e+01   3.51597e-05
1.27185e+01   3.74738e-05
1.42185e+01   3.99474e-05
1.57185e+01   4.25388e-05
1.72185e+01   4.51790e-05
1.87185e+01   4.77674e-05
2.02185e+01   5.01753e-05
2.17185e+01   5.22589e-05
2.32185e+01   5.38831e-05
2.47185e+01   5.49509e-05
2.62185e+01   5.54297e-05
2.77185e+01   5.53610e-05
2.92185e+01   5.48505e-05
3.07185e+01   5.40425e-05
3.22185e+01   5.30902e-05
3.37185e+01   5.21324e-05
3.52185e+01   5.12802e-05
3.67185e+01   5.06141e-05
3.82185e+01   5.01881e-05
3.97185e+01   5.00352e-05
4.12185e+01   5.01749e-05
4.27185e+01   5.06184e-05
4.42185e+01   5.13733e-05
4.57185e+01   5.24466e-05
4.72185e+01   5.38472e-05
4.87185e+01   5.55872e-05
5.02185e+01   5.76834e-05
5.17185e+01   6.01581e-05
5.32185e+01   6.30396e-05
5.47185e+01   6.63636e-05
5.62185e+01   7.01735e-05
5.77185e+01   7.45215e-05
5.92185e+01   7.94697e-05
6.07185e+01   8.50905e-05
6.22185e+01   9.14681e-05
6.37185e+01   9.86985e-05
6.52185e+01   1.06889e-04
6.67185e+01   1.16159e-04
6.82185e+01   1.26632e-04
6.97185e+01   1.38433e-04
7.12185e+01   1.51677e-04
7.27185e+01   1.66443e-04
7.42185e+01   1.82755e-04
7.57185e+01   2.00532e-04
7.72185e+01   2.19539e-04
7.87185e+01   2.39323e-04
8.02185e+01   2.59160e-04
8.17185e+01   2.78035e-04
8.32185e+01   2.94677e-04
8.47185e+01   3.07702e-04
8.62185e+01   3.15845e-04
8.77185e+01   3.18225e-04
8.92185e+01   3.14573e-04
9.07185e+01   3.05295e-04
9.22185e+01   2.91367e-04
9.37185e+01   2.74096e-04
9.52185e+01   2.54849e-04
9.67185e+01   2.34849e-04
9.82185e+01   2.15051e-04
9.97185e+01   1.96121e-04
1.01218e+02   1.78465e-04
1.02718e+02   1.62285e-04
1.04218e+02   1.47637e-04
1.05718e+02   1.34486e-04
1.07218e+02   1.22741e-04
1.08718e+02   1.12283e-04
1.10218e+02   1.02985e-04
1.11718e+02   9.47201e-05
1.13218e+02   8.73695e-05
1.14718e+02   8.08238e-05
1.16218e+02   7.49851e-05
1.17718e+02   6.97668e-05
1.19218e+02   6.50928e-05
1.20718e+02   6.08968e-05
1.22218e+02   5.71210e-05
1.23718e+02   5.37153e-05
1.25218e+02   5.06361e-05
1.26718e+02   4.78456e-05
1.28218e+02   4.53110e-05
1.29718e+02   4.30036e-05
1.31218e+02   4.08987e-05
1.32718e+02   3.89743e-05
1.34218e+02   3.72115e-05
1.35718e+02   3.55936e-05
1.37218e+02   3.41060e-05
1.38718e+02   3.27356e-05
1.40218e+02   3.14712e-05
1.41718e+02   3.03026e-05
1.43218e+02   2.92210e-05
1.44718e+02   2.82183e-05
1.46218e+02   2.72875e-05
1.47718e+02   2.64223e-05
1.49218e+02   2.56170e-05
1.50718e+02   2.48667e-05
1.52218e+02   2.41667e-05
1.53718e+02   2.35130e-05
1.55218e+02   2.29020e-05
1.56718e+02   2.23302e-05
1.58218e+02   2.17948e-05
1.59718e+02   2.12929e-05
1.61218e+02   2.08222e-05
1.62718e+02   2.03804e-05
1.64218e+02   1.99654e-05
1.65718e+02   1.95754e-05
1.67218e+02   1.92087e-05
1.68718e+02   1.88638e-05
1.70218e+02   1.85392e-05
1.71718e+02   1.82337e-05
1.73218e+02   1.79460e-05
1.74718e+02   1.76751e-05
1.76218e+02   1.74199e-05
